Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,009021,1944,null,null,null,null,null,20.4,18.3,19.5,20.3,24.6,26.8,25.5,null
IDCJAC0002,009021,1945,31.5,32.1,29.7,27.7,22.1,18.8,17.5,17.5,18.8,23.2,25.8,28.4,24.4
IDCJAC0002,009021,1946,28.2,29.8,28.0,26.6,21.1,18.1,16.7,17.7,21.2,24.3,24.4,27.4,23.6
IDCJAC0002,009021,1947,29.6,32.0,30.2,24.5,20.4,19.4,17.8,18.3,20.1,21.2,24.9,26.0,23.7
IDCJAC0002,009021,1948,30.9,32.0,31.9,23.8,23.0,19.3,18.0,19.7,19.7,22.1,25.1,26.1,24.3
IDCJAC0002,009021,1949,31.6,32.0,28.9,27.7,21.7,20.6,18.9,19.5,20.7,20.7,25.5,29.7,24.8
IDCJAC0002,009021,1950,32.7,31.5,30.9,27.2,21.1,19.2,18.0,19.0,19.7,21.2,23.3,27.6,24.3
IDCJAC0002,009021,1951,28.2,29.8,29.4,24.3,20.1,17.8,17.1,17.4,21.0,22.3,25.1,26.9,23.3
IDCJAC0002,009021,1952,31.3,30.9,29.5,26.2,20.5,19.1,16.7,18.6,19.4,21.5,23.8,25.7,23.6
IDCJAC0002,009021,1953,30.4,29.3,28.8,25.3,21.3,17.8,17.5,18.1,20.9,20.7,24.2,26.8,23.4
IDCJAC0002,009021,1954,31.0,31.9,27.9,24.2,20.8,18.3,17.8,18.3,21.4,23.9,22.3,27.9,23.8
IDCJAC0002,009021,1955,31.9,32.0,29.7,23.8,19.8,17.0,17.6,17.3,19.2,19.7,24.6,28.5,23.4
IDCJAC0002,009021,1956,33.8,31.4,30.1,24.3,19.4,16.9,16.7,17.5,20.6,21.0,25.9,27.1,23.7
IDCJAC0002,009021,1957,31.5,31.1,29.0,24.4,22.3,18.5,16.8,18.6,19.8,23.0,27.0,29.6,24.3
IDCJAC0002,009021,1958,33.1,31.5,30.1,25.3,21.9,18.8,16.8,18.3,19.4,21.3,27.2,31.3,24.6
IDCJAC0002,009021,1959,30.1,31.8,30.4,24.6,22.6,19.7,19.7,20.2,21.0,22.3,26.4,27.8,24.7
IDCJAC0002,009021,1960,28.2,31.2,26.6,23.6,19.9,18.2,16.4,17.7,19.7,23.7,26.7,30.2,23.5
IDCJAC0002,009021,1961,34.3,32.6,29.6,22.8,23.0,19.2,17.6,18.3,21.8,23.8,27.5,29.6,25.0
IDCJAC0002,009021,1962,35.6,32.6,28.1,27.2,23.7,19.5,17.9,19.3,19.9,20.4,25.1,30.3,25.0
IDCJAC0002,009021,1963,31.5,31.2,30.5,25.5,20.4,17.6,17.0,18.0,20.0,23.6,26.7,28.7,24.2
IDCJAC0002,009021,1964,30.6,30.4,29.2,22.7,21.4,19.2,17.4,18.5,18.2,20.0,24.2,27.4,23.3
IDCJAC0002,009021,1965,32.1,30.7,29.2,25.9,20.5,18.1,17.2,17.5,19.1,22.2,23.5,29.8,23.8
IDCJAC0002,009021,1966,31.1,29.5,28.6,23.1,21.4,17.4,17.1,18.1,18.1,22.1,25.8,28.8,23.4
IDCJAC0002,009021,1967,31.6,33.1,28.5,25.1,20.6,19.5,16.9,17.3,21.0,23.6,25.3,28.4,24.2
IDCJAC0002,009021,1968,30.5,29.1,26.1,21.2,19.7,17.4,17.4,16.3,18.3,21.4,23.7,28.2,22.4
IDCJAC0002,009021,1969,28.7,31.6,28.1,25.0,20.9,19.2,18.1,18.2,20.0,26.6,27.4,29.4,24.4
IDCJAC0002,009021,1970,29.3,32.3,29.9,23.8,20.9,18.3,18.6,18.2,19.1,22.6,25.0,30.0,24.0
IDCJAC0002,009021,1971,29.4,29.6,28.4,24.2,21.2,19.4,18.3,17.7,18.2,20.1,22.1,28.1,23.1
IDCJAC0002,009021,1972,32.7,34.9,31.0,26.3,24.4,19.5,17.5,17.5,20.5,22.9,28.1,31.6,25.6
IDCJAC0002,009021,1973,32.2,30.2,29.6,25.2,20.9,17.0,17.7,17.7,18.7,22.0,26.1,28.7,23.8
IDCJAC0002,009021,1974,34.2,31.1,30.8,23.8,20.6,18.6,17.2,18.2,21.2,21.0,24.7,29.5,24.2
IDCJAC0002,009021,1975,30.2,34.5,28.4,24.0,21.8,19.4,18.2,18.3,19.9,22.0,24.9,30.7,24.4
IDCJAC0002,009021,1976,30.8,33.8,31.0,26.5,22.9,19.6,19.5,18.8,20.7,23.5,24.0,28.4,25.0
IDCJAC0002,009021,1977,32.1,33.7,28.3,27.8,21.0,19.5,19.4,18.9,19.9,22.7,26.3,31.6,25.1
IDCJAC0002,009021,1978,34.0,33.0,32.0,28.0,21.6,18.0,16.9,19.4,19.2,23.1,27.1,29.7,25.2
IDCJAC0002,009021,1979,31.0,31.6,29.7,24.5,21.1,19.2,18.2,17.5,19.1,22.9,25.6,30.6,24.2
IDCJAC0002,009021,1980,34.0,31.9,31.1,23.5,22.0,17.8,17.5,18.7,19.7,20.5,24.4,28.0,24.1
IDCJAC0002,009021,1981,33.4,29.4,29.9,26.6,22.2,16.8,17.3,17.6,20.7,23.0,23.4,27.9,24.0
IDCJAC0002,009021,1982,29.4,32.6,28.4,26.0,21.2,18.5,17.7,19.3,20.4,23.7,28.2,28.5,24.5
IDCJAC0002,009021,1983,33.0,29.5,31.9,25.8,23.3,20.7,18.5,19.6,21.0,24.2,25.4,28.6,25.1
IDCJAC0002,009021,1984,32.4,33.1,27.8,26.5,20.5,19.8,17.0,17.6,19.9,22.9,25.6,26.0,24.1
IDCJAC0002,009021,1985,30.2,36.3,31.3,24.9,22.5,19.9,18.2,18.1,21.1,22.5,26.4,26.7,24.8
