Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,009021,1944,06,20.4,Y
IDCJAC0002,009021,1944,07,18.3,Y
IDCJAC0002,009021,1944,08,19.5,Y
IDCJAC0002,009021,1944,09,20.3,Y
IDCJAC0002,009021,1944,10,24.6,Y
IDCJAC0002,009021,1944,11,26.8,Y
IDCJAC0002,009021,1944,12,25.5,Y
IDCJAC0002,009021,1945,01,31.5,Y
IDCJAC0002,009021,1945,02,32.1,Y
IDCJAC0002,009021,1945,03,29.7,Y
IDCJAC0002,009021,1945,04,27.7,Y
IDCJAC0002,009021,1945,05,22.1,Y
IDCJAC0002,009021,1945,06,18.8,Y
IDCJAC0002,009021,1945,07,17.5,Y
IDCJAC0002,009021,1945,08,17.5,Y
IDCJAC0002,009021,1945,09,18.8,Y
IDCJAC0002,009021,1945,10,23.2,Y
IDCJAC0002,009021,1945,11,25.8,Y
IDCJAC0002,009021,1945,12,28.4,Y
IDCJAC0002,009021,1946,01,28.2,Y
IDCJAC0002,009021,1946,02,29.8,Y
IDCJAC0002,009021,1946,03,28.0,Y
IDCJAC0002,009021,1946,04,26.6,Y
IDCJAC0002,009021,1946,05,21.1,Y
IDCJAC0002,009021,1946,06,18.1,Y
IDCJAC0002,009021,1946,07,16.7,Y
IDCJAC0002,009021,1946,08,17.7,Y
IDCJAC0002,009021,1946,09,21.2,Y
IDCJAC0002,009021,1946,10,24.3,Y
IDCJAC0002,009021,1946,11,24.4,Y
IDCJAC0002,009021,1946,12,27.4,Y
IDCJAC0002,009021,1947,01,29.6,Y
IDCJAC0002,009021,1947,02,32.0,Y
IDCJAC0002,009021,1947,03,30.2,Y
IDCJAC0002,009021,1947,04,24.5,Y
IDCJAC0002,009021,1947,05,20.4,Y
IDCJAC0002,009021,1947,06,19.4,Y
IDCJAC0002,009021,1947,07,17.8,Y
IDCJAC0002,009021,1947,08,18.3,Y
IDCJAC0002,009021,1947,09,20.1,Y
IDCJAC0002,009021,1947,10,21.2,Y
IDCJAC0002,009021,1947,11,24.9,Y
IDCJAC0002,009021,1947,12,26.0,Y
IDCJAC0002,009021,1948,01,30.9,Y
IDCJAC0002,009021,1948,02,32.0,Y
IDCJAC0002,009021,1948,03,31.9,Y
IDCJAC0002,009021,1948,04,23.8,Y
IDCJAC0002,009021,1948,05,23.0,Y
IDCJAC0002,009021,1948,06,19.3,Y
IDCJAC0002,009021,1948,07,18.0,Y
IDCJAC0002,009021,1948,08,19.7,Y
IDCJAC0002,009021,1948,09,19.7,Y
IDCJAC0002,009021,1948,10,22.1,Y
IDCJAC0002,009021,1948,11,25.1,Y
IDCJAC0002,009021,1948,12,26.1,Y
IDCJAC0002,009021,1949,01,31.6,Y
IDCJAC0002,009021,1949,02,32.0,Y
IDCJAC0002,009021,1949,03,28.9,Y
IDCJAC0002,009021,1949,04,27.7,Y
IDCJAC0002,009021,1949,05,21.7,Y
IDCJAC0002,009021,1949,06,20.6,Y
IDCJAC0002,009021,1949,07,18.9,Y
IDCJAC0002,009021,1949,08,19.5,Y
IDCJAC0002,009021,1949,09,20.7,Y
IDCJAC0002,009021,1949,10,20.7,Y
IDCJAC0002,009021,1949,11,25.5,Y
IDCJAC0002,009021,1949,12,29.7,Y
IDCJAC0002,009021,1950,01,32.7,Y
IDCJAC0002,009021,1950,02,31.5,Y
IDCJAC0002,009021,1950,03,30.9,Y
IDCJAC0002,009021,1950,04,27.2,Y
IDCJAC0002,009021,1950,05,21.1,Y
IDCJAC0002,009021,1950,06,19.2,Y
IDCJAC0002,009021,1950,07,18.0,Y
IDCJAC0002,009021,1950,08,19.0,Y
IDCJAC0002,009021,1950,09,19.7,Y
IDCJAC0002,009021,1950,10,21.2,Y
IDCJAC0002,009021,1950,11,23.3,Y
IDCJAC0002,009021,1950,12,27.6,Y
IDCJAC0002,009021,1951,01,28.2,Y
IDCJAC0002,009021,1951,02,29.8,Y
IDCJAC0002,009021,1951,03,29.4,Y
IDCJAC0002,009021,1951,04,24.3,Y
IDCJAC0002,009021,1951,05,20.1,Y
IDCJAC0002,009021,1951,06,17.8,Y
IDCJAC0002,009021,1951,07,17.1,Y
IDCJAC0002,009021,1951,08,17.4,Y
IDCJAC0002,009021,1951,09,21.0,Y
IDCJAC0002,009021,1951,10,22.3,Y
IDCJAC0002,009021,1951,11,25.1,Y
IDCJAC0002,009021,1951,12,26.9,Y
IDCJAC0002,009021,1952,01,31.3,Y
IDCJAC0002,009021,1952,02,30.9,Y
IDCJAC0002,009021,1952,03,29.5,Y
IDCJAC0002,009021,1952,04,26.2,Y
IDCJAC0002,009021,1952,05,20.5,Y
IDCJAC0002,009021,1952,06,19.1,Y
IDCJAC0002,009021,1952,07,16.7,Y
