Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,009500,1880,01,22.1,Y
IDCJAC0002,009500,1880,02,22.8,Y
IDCJAC0002,009500,1880,03,20.6,Y
IDCJAC0002,009500,1880,04,19.2,Y
IDCJAC0002,009500,1880,05,17.5,Y
IDCJAC0002,009500,1880,06,14.7,Y
IDCJAC0002,009500,1880,07,15.1,Y
IDCJAC0002,009500,1880,08,15.2,Y
IDCJAC0002,009500,1880,09,16.2,Y
IDCJAC0002,009500,1880,10,16.2,Y
IDCJAC0002,009500,1880,11,18.0,Y
IDCJAC0002,009500,1880,12,20.8,Y
IDCJAC0002,009500,1881,01,20.1,Y
IDCJAC0002,009500,1881,02,22.2,Y
IDCJAC0002,009500,1881,03,22.2,Y
IDCJAC0002,009500,1881,04,19.6,Y
IDCJAC0002,009500,1881,05,17.1,Y
IDCJAC0002,009500,1881,06,14.4,Y
IDCJAC0002,009500,1881,07,15.3,Y
IDCJAC0002,009500,1881,08,15.5,Y
IDCJAC0002,009500,1881,09,16.4,Y
IDCJAC0002,009500,1881,10,16.1,Y
IDCJAC0002,009500,1881,11,18.7,Y
IDCJAC0002,009500,1881,12,20.7,Y
IDCJAC0002,009500,1882,01,20.2,Y
IDCJAC0002,009500,1882,02,22.1,Y
IDCJAC0002,009500,1882,03,20.1,Y
IDCJAC0002,009500,1882,04,18.8,Y
IDCJAC0002,009500,1882,05,16.3,Y
IDCJAC0002,009500,1882,06,14.6,Y
IDCJAC0002,009500,1882,07,14.4,Y
IDCJAC0002,009500,1882,08,14.9,Y
IDCJAC0002,009500,1882,09,16.4,Y
IDCJAC0002,009500,1882,10,17.3,Y
IDCJAC0002,009500,1882,11,17.8,Y
IDCJAC0002,009500,1882,12,20.8,Y
IDCJAC0002,009500,1883,01,20.7,Y
IDCJAC0002,009500,1883,02,20.5,Y
IDCJAC0002,009500,1883,03,19.9,Y
IDCJAC0002,009500,1883,04,20.1,Y
IDCJAC0002,009500,1883,05,17.3,Y
IDCJAC0002,009500,1883,06,15.9,Y
IDCJAC0002,009500,1883,07,14.5,Y
IDCJAC0002,009500,1883,08,14.1,Y
IDCJAC0002,009500,1883,09,14.4,Y
IDCJAC0002,009500,1883,10,16.5,Y
IDCJAC0002,009500,1883,11,18.2,Y
IDCJAC0002,009500,1883,12,21.9,Y
IDCJAC0002,009500,1884,01,20.9,Y
IDCJAC0002,009500,1884,02,21.5,Y
IDCJAC0002,009500,1884,03,21.2,Y
IDCJAC0002,009500,1884,04,18.6,Y
IDCJAC0002,009500,1884,05,16.6,Y
IDCJAC0002,009500,1884,06,14.2,Y
IDCJAC0002,009500,1884,07,13.8,Y
IDCJAC0002,009500,1884,08,16.1,Y
IDCJAC0002,009500,1884,09,16.0,Y
IDCJAC0002,009500,1884,10,17.3,Y
IDCJAC0002,009500,1884,11,19.5,Y
IDCJAC0002,009500,1884,12,18.7,Y
IDCJAC0002,009500,1885,01,21.5,Y
IDCJAC0002,009500,1885,02,20.4,Y
IDCJAC0002,009500,1885,03,20.3,Y
IDCJAC0002,009500,1885,04,19.1,Y
IDCJAC0002,009500,1885,05,15.7,Y
IDCJAC0002,009500,1885,06,14.6,Y
IDCJAC0002,009500,1885,07,14.8,Y
IDCJAC0002,009500,1885,08,14.3,Y
IDCJAC0002,009500,1885,09,15.1,Y
IDCJAC0002,009500,1885,10,17.0,Y
IDCJAC0002,009500,1885,11,18.8,Y
IDCJAC0002,009500,1885,12,21.6,Y
IDCJAC0002,009500,1886,01,20.3,Y
IDCJAC0002,009500,1886,02,21.1,Y
IDCJAC0002,009500,1886,03,21.1,Y
IDCJAC0002,009500,1886,04,19.2,Y
IDCJAC0002,009500,1886,05,16.8,Y
IDCJAC0002,009500,1886,06,15.8,Y
IDCJAC0002,009500,1886,07,13.6,Y
IDCJAC0002,009500,1886,08,13.3,Y
IDCJAC0002,009500,1886,09,16.4,Y
