Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009021,1944,05,110.6,Y
IDCJAC0001,009021,1944,06,77.5,Y
IDCJAC0001,009021,1944,07,177.4,Y
IDCJAC0001,009021,1944,08,108.3,Y
IDCJAC0001,009021,1944,09,53.1,Y
IDCJAC0001,009021,1944,10,16.9,Y
IDCJAC0001,009021,1944,11,27.0,Y
IDCJAC0001,009021,1944,12,45.3,Y
IDCJAC0001,009021,1945,01,1.3,Y
IDCJAC0001,009021,1945,02,3.6,Y
IDCJAC0001,009021,1945,03,16.8,Y
IDCJAC0001,009021,1945,04,7.2,Y
IDCJAC0001,009021,1945,05,89.1,Y
IDCJAC0001,009021,1945,06,424.1,Y
IDCJAC0001,009021,1945,07,117.7,Y
IDCJAC0001,009021,1945,08,264.7,Y
IDCJAC0001,009021,1945,09,106.3,Y
IDCJAC0001,009021,1945,10,22.1,Y
IDCJAC0001,009021,1945,11,25.7,Y
IDCJAC0001,009021,1945,12,17.6,Y
IDCJAC0001,009021,1946,01,0.0,Y
IDCJAC0001,009021,1946,02,0.5,Y
IDCJAC0001,009021,1946,03,15.5,Y
IDCJAC0001,009021,1946,04,78.8,Y
IDCJAC0001,009021,1946,05,183.5,Y
IDCJAC0001,009021,1946,06,213.1,Y
IDCJAC0001,009021,1946,07,219.1,Y
IDCJAC0001,009021,1946,08,139.7,Y
IDCJAC0001,009021,1946,09,28.8,Y
IDCJAC0001,009021,1946,10,3.6,Y
IDCJAC0001,009021,1946,11,80.7,Y
IDCJAC0001,009021,1946,12,13.0,Y
IDCJAC0001,009021,1947,01,0.8,Y
IDCJAC0001,009021,1947,02,0.0,Y
IDCJAC0001,009021,1947,03,10.9,Y
IDCJAC0001,009021,1947,04,86.2,Y
IDCJAC0001,009021,1947,05,197.0,Y
IDCJAC0001,009021,1947,06,269.5,Y
IDCJAC0001,009021,1947,07,158.5,Y
IDCJAC0001,009021,1947,08,53.8,Y
IDCJAC0001,009021,1947,09,75.2,Y
IDCJAC0001,009021,1947,10,107.5,Y
IDCJAC0001,009021,1947,11,25.7,Y
