Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,008050,1880,31.3,26.8,26.4,23.9,21.8,18.8,18.7,19.1,21.4,20.8,23.7,25.6,23.2
IDCJAC0002,008050,1881,26.9,28.9,29.7,25.1,21.5,18.9,20.0,20.4,21.6,22.7,24.4,28.9,24.1
IDCJAC0002,008050,1882,26.6,28.8,25.7,23.2,20.9,18.2,17.8,18.2,19.8,22.4,23.6,26.3,22.6
IDCJAC0002,008050,1883,26.4,31.9,25.7,26.1,22.9,20.6,18.8,18.8,20.4,22.9,24.1,25.7,23.7
IDCJAC0002,008050,1885,27.1,28.0,28.1,25.2,21.1,20.4,19.4,19.4,20.4,23.4,29.1,31.7,24.4
IDCJAC0002,008050,1886,32.2,34.6,30.7,28.0,26.1,22.1,22.3,20.7,22.3,23.6,26.6,32.2,26.8
IDCJAC0002,008050,1887,30.9,33.2,32.4,27.8,24.2,21.2,19.6,19.9,20.3,23.0,27.3,28.8,25.7
IDCJAC0002,008050,1888,29.3,28.8,33.8,25.2,22.7,21.1,19.1,19.9,21.8,24.8,26.9,28.2,25.1
IDCJAC0002,008050,1889,29.4,27.2,30.3,27.6,22.4,19.8,20.3,20.1,21.6,22.4,23.7,26.9,24.3
IDCJAC0002,008050,1890,29.2,27.8,28.1,28.1,22.4,19.3,18.1,19.4,20.2,21.7,26.2,28.1,24.1
IDCJAC0002,008050,1891,27.8,28.0,28.1,25.3,20.6,null,null,null,null,23.4,27.6,24.9,null
IDCJAC0002,008050,1892,28.1,32.3,27.2,26.8,23.4,19.7,19.7,19.5,21.7,21.9,24.1,26.5,24.2
IDCJAC0002,008050,1893,30.3,29.1,28.5,24.4,21.6,19.3,19.7,20.4,21.8,24.2,25.5,26.4,24.3
IDCJAC0002,008050,1894,32.3,32.9,29.1,26.7,23.9,21.6,20.6,20.1,21.1,23.2,26.4,28.8,25.6
IDCJAC0002,008050,1895,26.9,27.7,31.2,26.3,22.8,21.3,20.5,21.2,21.4,24.1,28.1,26.8,24.9
IDCJAC0002,008050,1896,30.9,30.5,26.4,24.7,23.2,21.7,18.6,20.4,22.3,22.5,23.9,25.3,24.2
IDCJAC0002,008050,1897,28.2,27.9,26.2,26.7,23.3,21.1,22.2,21.6,21.9,22.8,26.4,30.8,24.9
IDCJAC0002,008050,1898,27.6,30.7,31.2,26.2,24.3,19.6,21.6,20.7,22.3,22.3,25.7,27.0,24.9
IDCJAC0002,008050,1899,29.5,27.7,28.5,24.8,23.2,20.1,20.0,20.4,21.7,22.3,23.1,27.8,24.1
IDCJAC0002,008050,1900,30.5,30.2,26.9,24.7,22.2,20.6,19.4,19.3,21.7,23.7,24.6,26.2,24.2
IDCJAC0002,008050,1901,27.2,29.9,30.3,26.7,23.2,20.9,20.2,20.3,21.4,22.8,24.9,24.8,24.4
IDCJAC0002,008050,1902,26.6,26.3,30.2,25.6,23.4,21.0,19.8,22.2,21.9,22.0,25.4,25.1,24.1
IDCJAC0002,008050,1903,29.5,31.6,26.5,24.6,24.2,21.6,19.5,19.7,20.3,22.7,24.8,29.0,24.5
IDCJAC0002,008050,1904,32.1,29.9,31.8,26.7,21.7,20.9,19.5,21.1,20.9,23.2,24.5,27.1,24.9
IDCJAC0002,008050,1905,26.3,30.3,27.7,26.9,23.2,21.2,20.4,20.4,22.2,23.9,24.2,26.9,24.5
IDCJAC0002,008050,1906,28.4,25.9,29.3,28.3,23.5,21.4,19.1,20.2,20.1,23.8,24.6,29.2,24.5
IDCJAC0002,008050,1907,32.3,30.5,29.4,27.9,24.6,21.2,20.3,21.0,21.2,22.1,24.4,26.5,25.1
IDCJAC0002,008050,1908,28.9,29.7,27.9,26.8,22.7,19.2,20.2,20.4,22.2,23.5,24.9,26.7,24.4
IDCJAC0002,008050,1909,30.7,32.3,28.2,26.7,23.2,21.2,19.8,20.3,22.1,21.8,24.1,31.6,25.2
IDCJAC0002,008050,1910,28.5,31.8,31.5,28.1,22.1,20.4,18.7,20.6,21.7,21.7,24.5,26.8,24.7
IDCJAC0002,008050,1911,28.5,31.5,28.1,26.9,22.8,20.6,20.3,19.9,21.3,24.6,23.9,24.1,24.4
IDCJAC0002,008050,1912,27.2,29.8,26.8,26.8,22.7,22.3,19.9,21.4,20.5,22.2,26.5,27.1,24.4
IDCJAC0002,008050,1913,28.8,29.8,28.5,26.0,26.1,22.7,20.4,19.9,22.7,22.5,24.7,25.3,24.8
IDCJAC0002,008050,1914,29.4,28.5,28.1,23.9,22.5,21.8,19.8,22.9,24.8,25.0,25.1,27.3,24.9
IDCJAC0002,008050,1915,30.2,29.0,28.9,28.2,24.4,21.9,20.3,20.8,19.9,22.5,27.8,30.4,25.4
IDCJAC0002,008050,1916,26.9,28.1,26.9,28.6,23.5,20.0,19.1,19.8,24.1,22.6,26.4,28.5,24.5
IDCJAC0002,008050,1917,29.2,30.6,26.0,26.8,22.2,20.7,19.5,19.5,20.0,23.4,26.2,27.3,24.3
IDCJAC0002,008050,1918,32.5,29.8,29.4,27.9,23.6,21.5,20.9,20.1,22.4,22.8,25.8,27.7,25.4
IDCJAC0002,008050,1919,27.0,29.0,29.1,27.0,24.6,21.3,21.3,20.4,21.8,22.4,25.0,25.3,24.5
IDCJAC0002,008050,1920,32.0,29.4,28.1,28.9,23.1,20.4,19.4,18.5,22.3,23.8,26.6,28.0,25.0
IDCJAC0002,008050,1921,30.7,33.0,31.5,27.8,22.6,21.6,20.7,21.7,21.8,23.5,25.0,28.3,25.7
IDCJAC0002,008050,1922,28.2,30.1,30.1,26.2,22.9,20.3,19.3,20.7,21.4,24.2,25.8,25.4,24.5
IDCJAC0002,008050,1923,28.1,29.7,29.8,27.5,23.3,19.9,19.9,20.9,20.2,22.6,26.0,26.6,24.5
IDCJAC0002,008050,1924,28.6,30.3,28.0,29.4,24.1,21.3,21.2,20.2,22.0,21.6,25.5,30.3,25.2
IDCJAC0002,008050,1925,29.0,28.9,28.9,25.7,22.8,21.7,19.4,21.2,22.4,21.6,28.3,27.1,24.8
IDCJAC0002,008050,1926,30.6,26.7,28.9,24.4,23.4,20.9,19.7,19.4,22.2,23.1,26.4,30.3,24.7
IDCJAC0002,008050,1927,29.1,28.8,26.4,29.0,23.9,20.1,19.2,20.4,22.8,23.9,25.5,31.1,25.0
IDCJAC0002,008050,1928,29.5,29.8,27.8,26.0,24.2,21.4,19.8,20.6,20.8,21.5,25.4,26.6,24.5
IDCJAC0002,008050,1929,30.4,29.0,29.7,25.9,22.4,20.0,18.7,19.9,21.6,22.7,23.5,27.8,24.3
IDCJAC0002,008050,1930,28.1,27.3,29.9,26.4,23.8,21.4,20.0,20.5,22.5,23.1,25.0,26.7,24.6
